b,number,lat,lon,east,north,name,site,site_name
http://id.southampton.ac.uk/building/1422,1422,50.9339817,-1.3998519,442268,115119,50 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/42,42,50.934219,-1.397511,442433,115147,Students' Union/Refectory,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1390,1390,50.933636,-1.400937,442192,115080,1A Oakhurst Road,,
http://id.southampton.ac.uk/building/11,11,,,,,Energy Centre (CHP),http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/73F,73F,50.9436793,-1.402203,442094,116196,Glen Eyre Hall Block F Richard Newitt,http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/76B,76B,50.9376576,-1.3778009,443814,115541,Montefiore Hall Block B,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/9585,9585,50.9125279,-1.3973994,442460,112735,Royal South Hants,http://id.southampton.ac.uk/site/20,Royal South Hants Hospital
http://id.southampton.ac.uk/building/1107,1107,50.9336275,-1.3962471,442522,115082,47 University Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/73R,73R,50.9434354,-1.404631,441924,116168,Beechmount House,,
http://id.southampton.ac.uk/building/9005,9005,,,,,Eng Store - rear of B1602,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/76N,76N,50.938763,-1.376751,443887,115664,Montefiore Hall Block N,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/1730-31,1730-31,,,,,Erasmus - Flat 31,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/151,151,50.9311694,-1.3838409,443396,114816,Unit 12 Bindery,http://id.southampton.ac.uk/site/45,Belgrave Industrial Site
http://id.southampton.ac.uk/building/72A1-B,72A1-B,50.937683,-1.374393,444054,115546,Connaught B (Old Quad),http://id.southampton.ac.uk/site/63,Connaught Hall
http://id.southampton.ac.uk/building/1404,1404,50.9331759,-1.3981409,442389,115031,14 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/94J,94J,,,,,Store 2,http://id.southampton.ac.uk/site/8,Boat House
http://id.southampton.ac.uk/building/25,25,50.9347702,-1.3934585,442717,115211,EScience Building,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/73N-A,73N-A,50.94236,-1.402854,442050,116049,Block A Glen Eyre Hall Old Terrace,http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/37,37,50.934147,-1.395696,442560,115140,George Thomas,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/76M,76M,50.938606,-1.377389,443843,115647,Montefiore Hall Block M,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/2,2,50.9362789,-1.3981275,442387,115376,Building 2,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1405,1405,50.9332298,-1.3982264,442383,115037,16 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/76Y,76Y,,,,,Montefiore Cycle Store,http://id.southampton.ac.uk/site/65,Stoneham Hall
http://id.southampton.ac.uk/building/73B4,73B4,50.94405,-1.400848,442189,116238,Glen Eyre Hall Bungalow 4,http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/73X-S,73X-S,50.9427239,-1.4021625,442098,116090,Block S Glen Eyre Hall New Terrace,http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/1580,1580,50.928944,-1.401279,442173,114558,65 Heatherdeane Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/1730-09,1730-09,,,,,Erasmus - House 09,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/81C,81C,50.945606,-1.390787,442895,116417,Bencraft Court Block C,http://id.southampton.ac.uk/site/62,Bencraft Hall
http://id.southampton.ac.uk/building/95,95,,,,,Old Sports Pavilion Wide Lane,http://id.southampton.ac.uk/site/39,Recreation Facilities at Wide Lane
http://id.southampton.ac.uk/building/1406,1406,50.9332568,-1.3982834,442379,115040,18 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/94A,94A,50.934563,-1.380039,443660,115195,Boat House 1,http://id.southampton.ac.uk/site/8,Boat House
http://id.southampton.ac.uk/building/9011,9011,50.950558,-1.365365,444676,116983,Changing Room 1 Wide Lane,http://id.southampton.ac.uk/site/39,Recreation Facilities at Wide Lane
http://id.southampton.ac.uk/building/94G,94G,50.934058,-1.380509,443628,115139,Workshop,http://id.southampton.ac.uk/site/8,Boat House
http://id.southampton.ac.uk/building/73H,73H,50.9441011,-1.4020052,442108,116243,Glen Eyre Hall Block H Richard Newitt,http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/9012,9012,50.950558,-1.365365,444676,116983,Changing Room 2 Wide Lane,http://id.southampton.ac.uk/site/39,Recreation Facilities at Wide Lane
http://id.southampton.ac.uk/building/72A1-C,72A1-C,50.937595,-1.374334,444058,115536,Connaught C (Old Quad),http://id.southampton.ac.uk/site/63,Connaught Hall
http://id.southampton.ac.uk/building/52,52,50.9358682,-1.3988324,442338,115330,Turner Sims Concert Hall,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/81D,81D,50.9458246,-1.3909756,442881,116441,Bencraft Court Bar,http://id.southampton.ac.uk/site/62,Bencraft Hall
http://id.southampton.ac.uk/building/2A,2A,50.9364286,-1.3975235,442430,115393,Building 2 Annexe,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/9048,9048,,,,,NOC Cont 8 - Aquarium 491 Container 2,http://id.southampton.ac.uk/site/6,National Oceanography Centre Campus
http://id.southampton.ac.uk/building/1730-19,1730-19,,,,,Erasmus - Flat 19,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/77A,77A,,,,,St Margaret's Bin Store,,
http://id.southampton.ac.uk/building/44B,44B,,,,,Potting Shed behind B44,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/9001,9001,50.951485,-1.363689,444793,117087,Staff P/kabin 1 Wide Lane,http://id.southampton.ac.uk/site/39,Recreation Facilities at Wide Lane
http://id.southampton.ac.uk/building/1730-08,1730-08,,,,,Erasmus - House 08,http://id.southampton.ac.uk/site/70,Erasmus Park
http://id.southampton.ac.uk/building/68-A1,68-A1,,,,,National Oceanography Centre - Block A1,http://id.southampton.ac.uk/site/6,National Oceanography Centre Campus
http://id.southampton.ac.uk/building/9046,9046,,,,,NOC Cont 6 - Small boats Learning,http://id.southampton.ac.uk/site/6,National Oceanography Centre Campus
http://id.southampton.ac.uk/building/82B,82B,50.9157541,-1.4098021,441585,113087,Romero Hall,,
http://id.southampton.ac.uk/building/9590,9590,50.940327,-1.427804,440299,115809,Aldermoor Health Centre,,
http://id.southampton.ac.uk/building/73K,73K,50.9432479,-1.4009757,442181,116149,"Glen Eyre Hall, Chancellor's Court, Selbourne",http://id.southampton.ac.uk/site/57,Glen Eyre Hall
http://id.southampton.ac.uk/building/146,146,,,,,Mayflower A,,
http://id.southampton.ac.uk/building/1220,1220,50.938011,-1.395103,442598,115570,130 Burgess Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/9047,9047,,,,,NOC Cont 7 - Aquarium 491 Container 1,http://id.southampton.ac.uk/site/6,National Oceanography Centre Campus
http://id.southampton.ac.uk/building/76D,76D,50.937752,-1.376708,443891,115552,Montefiore Hall Block D,http://id.southampton.ac.uk/site/64,Montefiore Hall
http://id.southampton.ac.uk/building/9,9,50.9355501,-1.394215,442663,115297,Engineering Workshops,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/70BB,70BB,50.941452,-1.401953,442114,115949,South Hill B,http://id.southampton.ac.uk/site/58,South Hill Hall
http://id.southampton.ac.uk/building/65,65,50.929203,-1.402838,442063,114586,Parkes Bldg,http://id.southampton.ac.uk/site/3,Avenue Campus
http://id.southampton.ac.uk/building/1421,1421,50.9339487,-1.3997949,442272,115116,48 Chamberlain Road,http://id.southampton.ac.uk/site/1,Highfield Campus
http://id.southampton.ac.uk/building/53,53,50.937412,-1.398236,442379,115502,New Mountbatten,http://id.southampton.ac.uk/site/1,Highfield Campus
